id,appno,tradingname,town,postcode7,country_id,slaughterhouse,x,y,last_yr,last_mth
1,1007,Frank Bird (Poultry) Ltd,Penrith,CA101NB,1,yes,357081.0,533629.0,2020,5
2,1077,Joe Simpson (T/A F Simpson and Son),Bishop Auckland,DL135AA,1,yes,412803.0,524280.0,2020,5
3,1100,2 Sisters Poultry Ltd (TA 2 Sisters Coupar Angus),Coupar Angus,,3,yes,,,2019,12
4,1101,Anglo Beef Processors UK T/A ABP Perth,Perth,,3,yes,,,2020,5
5,1103,Neerock Limited (T/A Woodhead Brothers),Turriff,,3,yes,,,2020,5
6,1106,2Sisters Red Meat Limited (T/A McIntosh Donald),Aberdeen,,3,yes,,,2018,8
7,1118,Western Isles Council (T/A Stornoway Abattoir),Stornoway,,3,yes,,,2020,5
8,1121,Scotbeef Inverurie Ltd,Inverurie,,3,yes,,,2020,5
9,1124,Dunbia (Elgin) Limited,Elgin,,3,yes,,,2018,4
10,1125,John M Munro Ltd,Dingwall,,3,yes,,,2020,5
11,1134,Dr Timothy J Fletcher and Nicola R Fletcher (T/A Reediehill Deer Farm),Auchtermuchty,,3,yes,,,2020,5
12,1135,Archibald MaClean t/a Gearadhmor,Isle of Barra,,3,yes,,,2020,5
13,1136,Quality Pork Processors Limited,Brechin,,3,yes,,,2020,5
14,1156,Orkney Meat Processors Limited,Kirkwall,,3,yes,,,2018,10
15,1160,R Miller Ltd (Meat Wholesaler),Grantown-on-Spey,,3,yes,,,2020,4
16,1201,Downfield Limited,Cupar,,3,yes,,,2020,5
17,1505,Vivers Scotlamb Ltd.,Annan,,3,yes,,,2020,5
18,1511,DS (Slaughterhouse) Ltd,Dunblane,,3,yes,,,2020,5
19,1516,James Chapman (Butchers) Ltd T/A  Shotts Abattoir,Shotts,,3,yes,,,2020,5
20,1517,Wishaw Abattoir Ltd,Motherwell,,3,yes,,,2020,5
21,1535,Sandyford Abattoir (Paisley) Ltd,Paisley,,3,yes,,,2020,5
22,1541,AK Stoddart Ltd,Ayr,,3,yes,,,2020,5
23,1542,John Robertson & Sons (Ham Curers) Ltd,Ardrossan,,3,yes,,,2020,5
24,1560,Scotbeef Ltd,Bridge of Allan,,3,yes,,,2020,5
25,1571,Ramsay of Carluke Ltd,Carluke,,3,yes,,,2020,5
26,1584,Lockerbie Abattoir,Lockerbie,,3,yes,,,2020,5
27,1585,Mull Slaughterhouse Ltd,Isle of Mull,,3,yes,,,2020,5
28,1598,Dawn Meats UK (T/A Highland Meats),Saltcoats,,3,yes,,,2018,4
29,1641,Richard Carmichael (T/A Carmichael Estate Farm Meats),Biggar,,3,yes,,,2020,5
30,1647,Kezie Ltd,Duns,,3,yes,,,2020,5
31,1659,SAC Commercial Ltd,Ayr,,3,yes,,,2020,5
32,1679,Scotch Premier Meat Ltd,Sutherland,,3,yes,,,2020,5
33,1686,John Morrison t/a Lochmaddy Slaughterhouse,Isle Of North Uist,,3,yes,,,2020,5
34,1717,Barraston Poultry Ltd (T/A Gilchrist Poultry),Glasgow,,3,yes,,,2020,5
35,1735,Avonvogie Enterprises Ltd,Isle Of Islay,,3,yes,,,2020,5
36,1736,Hallrule Shoot,Hawick,,3,yes,,,2020,5
37,1756,SMLG Trading Ltd,Lerwick,,3,yes,,,2020,5
38,2019,HCF Poultry Ltd,Bradford,BD135HP,1,yes,406519.0,436710.0,2020,5
39,2023,T Soanes & Son (Poultry) Ltd,Driffield,,1,yes,,,2020,5
40,2037,2 Sisters Food Group Ltd,Scunthorpe,DN158QW,1,yes,488464.0,413261.0,2020,5
41,2045,Dovecote Park Ltd,Pontefract,WF8 3DD,1,yes,,,2020,5
42,2056,Linden Foods Burradon Limited,Cramlington,NE237NB,1,yes,427300.0,572973.0,2020,5
43,2060,MALTON BACON FACTORY,Malton,YO179HG,1,yes,480288.0,471426.0,2020,5
44,2066,Thompson (Wholesale Meat) Ltd,Durham,DL140AQ,1,yes,415514.0,531620.0,2020,5
45,2077,FOYLE MELTON MOWBRAY,Melton Mowbray,LE143PR,1,yes,465290.0,321287.0,2020,5
46,2085,BW & DJ Glaves & Sons Ltd,Scarborough,YO139DL,1,yes,494457.0,482081.0,2019,6
47,2088,Richard John Lyth T/A Egton Butchers,Egton,YO211TZ,1,yes,480853.0,506514.0,2020,2
48,2091,Spenborough Abattoir Ltd,Liversedge,WF156PR,1,yes,420165.0,423795.0,2020,5
49,2093,Cranswick Country Foods Plc,Hull,HU128TB,1,yes,518518.0,430376.0,2020,5
50,2095,Hartshead Meats Ltd,Ashton-under-Lyne,,1,yes,,,2020,5
51,2100,DAWN CARNABY,Bridlington,,1,yes,,,2018,4
52,2102,N Bramall & Son Ltd,Sheffield,S36 8YB,1,yes,,,2020,5
53,2108,Blackbrow Abattoir Ltd,Wigton,CA7 0JT,1,yes,,,2020,5
54,2138,West Scottish Lamb Ltd,Carlisle,CA3 0EH,1,yes,,,2020,5
55,2139,H C Airey & Sons Ltd,Grange over Sands,LA116JE,1,yes,339818.0,483126.0,2020,5
56,2141,ABP YORK,York,YO195GH,1,yes,465073.0,452181.0,2020,5
57,2147,J A Mounfield & Son Ltd,Selby,YO8 6LS,1,yes,,,2020,5
58,2161,J A Jewitt (Meat) Ltd,Durham,DL167QD,1,yes,424320.0,532177.0,2020,5
59,2163,PETER BODDY LICENSED SLAUGHTERERS AND GAME DEALERS,Todmorden,OL148RE,1,yes,394473.0,425272.0,2020,5
60,2168,G & A DENNEY,Lyth,LA8 8DG,1,yes,,,2020,5
61,2169,CR HORNER,York,,1,yes,,,2020,5
62,2171,A Traves & Son Ltd,Escrick,YO196TP,1,yes,463112.0,442625.0,2020,5
63,2172,Foyle Gloucester,Cinderford,GL142PH,1,yes,364814.0,214298.0,2020,5
64,2175,Richard of Howden Ltd,Goole,DN145SR,1,yes,474171.0,423462.0,2019,12
65,2188,ROBINSONS BUTCHERS,Durham,TS285AA,1,yes,440073.0,536933.0,2020,5
66,2198,James White Butchers Ltd,Driffield,YO259QN,1,yes,502520.0,452287.0,2020,5
67,2199,E V SLACK & SONS,Doncaster,,1,yes,,,2020,5
68,2241,Woolley Bros (Wholesale Meats) Ltd,Sheffield,S20 3RW,1,yes,,,2020,5
69,2248,Melton Meat Limited,Melton Mowbray,LE142QN,1,yes,479654.0,312246.0,2020,5
70,2254,GAMSTON  WOOD OSTRICHES,Retford,DN220RB,1,yes,473320.0,376790.0,2020,5
71,2285,JOHN PENNY AND SONS,Leeds,LS196NU,1,yes,421432.0,439193.0,2020,5
72,2288,C WASTENEY AND SONS,Sheffield,S35 8QB,1,yes,,,2020,5
73,2291,L Wood & Sons,Huddersfield,HD3 3FW,1,yes,,,2020,5
74,2301,Perdon Organics Ltd,Cullompton,EX151QQ,1,yes,303807.0,107024.0,2020,5
75,2338,MEDINA GROUP LIMITED,Halifax,,1,yes,,,2020,5
76,2343,J & E Medcalf Ltd,Halifax,HX4 9BJ,1,yes,,,2020,5
77,2348,P & R WHITWAM,Huddersfield,HD7 4HB,1,yes,,,2020,5
78,2358,Milford Farm Ltd,Leeds,LS255LJ,1,yes,446438.0,430894.0,2018,7
79,2384,NEWHOUSE GAME,Southampton,SO451AB,1,yes,446077.0,100135.0,2020,5
80,2388,DAWN CUMBRIA,Ulverston,,1,yes,,,2018,4
81,2397,Rowland Agar (Slaughtering Contractors) Ltd,Ilkley,LS298HX,1,yes,412048.0,447848.0,2020,4
82,2399,Just Halal Poultry Limited,Bradford,BD3 9RD,1,yes,,,2019,1
83,2406,G Bolam (Foods) & Sons Ltd,Stockton-on-Tees,TS213EE,1,yes,435674.0,529784.0,2020,5
84,2413,M & C MEATS,Leeds,LS158DY,1,yes,436399.0,434576.0,2018,12
85,2430,Yorkshire Abattoir Services Limited,Ossett,,1,yes,,,2020,5
86,2436,R  NATRASS & SONS,Bishop Auckland,DL131JR,1,yes,390703.0,538225.0,2018,6
87,2438,McIntyre Meats Ltd,Leyburn,DL8 3EP,1,yes,,,2020,5
88,2450,Al-Ummah Halal Poultry Limited,Barnsley,S72 9BG,1,yes,,,2018,6
89,2477,LANGTHORNE'S BUFFALO PRODUCE,Northallerton,DL6 2PD,1,yes,,,2020,5
90,2501,A. J. Leese Turkeys Ltd,Stoke-on-Trent,ST104HY,1,yes,403040.0,339407.0,2020,5
91,2503,Two Rivers Produce Limited,Chepstow,NP167LZ,1,yes,355093.0,200608.0,2020,3
92,2533,FAI Farms Limited,Wytham,OX2 8QJ,1,yes,,,2019,7
93,2536,Pickstock Telford Limited,Telford,TF1 7FA,1,yes,,,2020,5
94,2542,Norfolk Quail Limited,Fakenham,NR217AL,1,yes,595091.0,327429.0,2020,5
95,2569,Severn Valley Lamb,Great Wyrley,WS6 6AY,1,yes,,,2020,5
96,2585,Zuss Halal,Latchingdon,,1,yes,,,2020,3
97,2590,Fulton Holdings (Leeds) Limited,Leeds,LS252DP,1,yes,440148.0,435717.0,2020,5
98,2603,Castlemead Poultry,Radstock,BA3 5UF,1,yes,,,2020,5
99,2621,Wellcroft Farm Meats,Butterton Leek,ST137TD,1,yes,407169.0,356619.0,2018,7
100,2630,Charing Meats Limited,Ashford,,1,yes,,,2018,4
101,2653,Iqbal Poultry,Doncaster,DN8 5JS,1,yes,,,2020,5
102,2660,Riley Foods Limited,Burnley,BB115PP,1,yes,381664.0,427860.0,2020,5
103,2667,A J Meats Limited,Birmingham,,1,yes,,,2018,9
104,2669,Philip Warren & Son,Launceston,PL157ED,1,yes,231834.0,83582.0,2019,5
105,2690,Simpson & Sons,Redditch,B96 6HH,1,yes,,,2020,5
106,2696,United Country Foods Ltd,Banham,NR162BX,1,yes,604748.0,288767.0,2018,6
107,3003,Faccenda Foods (Lincs) Ltd (T/A Avara Foods),Caistor,LN7 6SH,1,yes,,,2020,5
108,3005,MOY PARK (ASHBOURNE),Ashbourne,,1,yes,,,2020,5
109,3007,Faccenda Foods Limited,Brackley,NN137EX,1,yes,459223.0,236768.0,2019,6
110,3008,Noble Foods Limited,Gainsborough,DN211QB,1,yes,483346.0,390280.0,2020,5
111,3011,Moy Park Ltd,Sleaford,NG349SL,1,yes,511293.0,350304.0,2020,5
112,4014,Cargill Meats Europe,Hereford,HR4 9PB,1,yes,,,2018,1
113,4015,A S Audhali Farmgate Fresh Poultry Ltd,Hatton,CV357HZ,1,yes,422243.0,268854.0,2019,4
114,4017,Highbury Poultry Farm Produce Ltd,Whitchurch,SY132HJ,1,yes,355824.0,335390.0,2020,5
115,4026,Faccenda Foods Limited,Scropton,DE655PS,1,yes,419934.0,330053.0,2019,6
116,4030,Bolton Halal Chicken Ltd,Bolton,BL3 6AU,1,yes,,,2018,4
117,4046,SEAFIELD PEDIGREES LTD,Redditch,B98 9DB,1,yes,,,2019,4
118,4071,DUNBIA PRESTON,Preston,PR5 6AJ,1,yes,,,2020,5
119,4083,Cook & Johnson (Butchers) Ltd,St Helens,WA118DQ,1,yes,347658.0,401058.0,2018,4
120,4085,TULIP FRESH MEATS (ASHTON),Dukinfield,SK164HY,1,yes,394022.0,398626.0,2020,5
121,4090,F A Gill Limited,Wolverhampton,WV4 6EH,1,yes,,,2020,5
122,4102,A H GRIFFITHS,Craven Arms,SY7 0LB,1,yes,,,2020,5
123,4104,A E PEARS & SON,Melton Mowbray,LE144HG,1,yes,477375.0,330851.0,2018,10
124,4109,ABP SHREWSBURY,Shrewsbury,SY1 4AH,1,yes,,,2020,5
125,4112,BLACKLIDGE BROS,Wigan,,1,yes,,,2020,5
126,4113,Noel Chadwick Ltd,Wigan,WN6 0HA,1,yes,,,2019,1
127,4133,Farmers Fresh Ltd,Kenilworth,CV8 1NN,1,yes,,,2020,5
128,4137,C Robinson and Sons (Butchers) Ltd,Walsall,WS7 1NR,1,yes,,,2020,1
129,4138,C E PARTRIDGE & SON LTD,Bromsgrove,B61 0BN,1,yes,,,2020,5
130,4140,G & G B HEWITT LTD,Chester,CH3 9BH,1,yes,,,2020,5
131,4152,Beesons Limited,Crewe,CW1 5QF,1,yes,,,2020,5
132,4156,C H Rowley Ltd,Coventry,CV7 8FU,1,yes,,,2020,5
133,4168,R B Elliott & Son Ltd,Chesterfield,S44 5UN,1,yes,,,2020,5
