appno,yr,mth,abattoir_id
1007,2018,1,1
1007,2018,2,1
1007,2018,3,1
1007,2018,4,1
1007,2018,5,1
1007,2018,6,1
1007,2018,7,1
1007,2018,8,1
1007,2018,9,1
1007,2018,10,1
1007,2018,11,1
1007,2018,12,1
1007,2019,1,1
1007,2019,2,1
1007,2019,3,1
1007,2019,4,1
1007,2019,5,1
1007,2019,6,1
1007,2019,7,1
1007,2019,8,1
1007,2019,9,1
1007,2019,10,1
1007,2019,11,1
1007,2019,12,1
1007,2020,1,1
1007,2020,2,1
1007,2020,3,1
1007,2020,4,1
1007,2020,5,1
1007,2020,6,1
1007,2020,7,1
1007,2020,8,1
1007,2020,9,1
1007,2020,10,1
1007,2020,11,1
1007,2020,12,1
1007,2021,1,1
1007,2021,2,1
1007,2021,3,1
1007,2021,4,1
1007,2021,5,1
1007,2021,6,1
1007,2021,7,1
1007,2021,8,1
1007,2021,9,1
1007,2021,10,1
1007,2021,11,1
1007,2021,12,1
1007,2022,1,1
1007,2022,2,1
1007,2022,3,1
1007,2022,4,1
1007,2022,5,1
1007,2022,6,1
1007,2022,7,1
1007,2022,8,1
1007,2022,9,1
1007,2022,10,1
1007,2022,11,1
1007,2022,12,1
1007,2023,1,1
1007,2023,2,1
1007,2023,3,1
1077,2018,1,2
1077,2018,2,2
1077,2018,3,2
1077,2018,4,2
1077,2018,5,2
1077,2018,6,2
1077,2018,7,2
1077,2018,8,2
1077,2018,9,2
1077,2018,10,2
1077,2018,11,2
1077,2018,12,2
1077,2019,1,2
1077,2019,2,2
1077,2019,3,2
1077,2019,4,2
1077,2019,5,2
1077,2019,6,2
1077,2019,7,2
1077,2019,8,2
1077,2019,9,2
1077,2019,10,2
1077,2019,11,2
1077,2019,12,2
1077,2020,1,2
1077,2020,2,2
1077,2020,3,2
1077,2020,4,2
1077,2020,5,2
1077,2020,6,2
1077,2020,7,2
1077,2020,8,2
1077,2020,9,2
1077,2020,10,2
1077,2020,11,2
1077,2020,12,2
1077,2021,1,2
1077,2021,2,2
1077,2021,3,2
1077,2021,4,2
1077,2021,5,2
1077,2021,6,2
1077,2021,7,2
1077,2021,8,2
1077,2021,9,2
1077,2021,10,2
1077,2021,11,2
1077,2021,12,2
1077,2022,1,2
1077,2022,2,2
1077,2022,3,2
1077,2022,4,2
1077,2022,5,2
1077,2022,6,2
1077,2022,7,2
1077,2022,8,2
1077,2022,9,2
1077,2022,10,2
1077,2022,11,2
1077,2022,12,2
1077,2023,1,2
1077,2023,2,2
1077,2023,3,2
1100,2018,1,3
1100,2018,2,3
1100,2018,3,3
1100,2018,4,3
1100,2018,5,3
1100,2018,6,3
1100,2018,7,3
1100,2018,8,3
1100,2018,9,3
1100,2018,10,3
1100,2018,11,3
1100,2018,12,3
1100,2019,1,3
1100,2019,2,3
1100,2019,3,3
1100,2019,4,3
1100,2019,5,3
1100,2019,6,3
1100,2019,7,3
1100,2019,8,3
1100,2019,9,3
1100,2019,10,3
1100,2019,11,3
1100,2019,12,3
1100,2020,1,441
1100,2020,2,441
1100,2020,3,441
1100,2020,4,441
1100,2020,5,441
1100,2020,6,441
1100,2020,7,441
1100,2020,8,441
1100,2020,9,441
1100,2020,10,441
1100,2020,11,441
1100,2020,12,441
1100,2021,1,441
1100,2021,2,441
1100,2021,3,441
1100,2021,4,441
1100,2021,5,441
1100,2021,6,441
1100,2021,7,441
1100,2021,8,441
1100,2021,9,441
1100,2021,10,441
1100,2021,11,441
1100,2021,12,441
1100,2022,1,441
1100,2022,2,441
1100,2022,3,441
1100,2022,4,441
